title,price,image,link
갤럭시북2 프로 NT950XEV-G51A,"999,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3655192128
노트북 무상업글 14Z980 그램 14인치 가벼운 LG노트북 i5 8세대 16G 신품 SSD512G,"579,550",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2623547405
250 G10 820X0PA i7-1355U (8GB/ 512G/ 프리도스) 32GB RAM 구성(16GB2)+1TB (SSD)교체,"1,254,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2939471192&buyboxtype=ad
삼성 갤럭시북4 NT750XGP-G72A 인텔 코어7 고사양 3D캐드 메모리 32GB/외장그래픽 탑재 노트북,"1,599,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3638859064
ASUS TUF FX707VU Intel i7 512GB 16GB FreeDOS,"1,531,880",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=4020718182
250 G10 820X0PA i7-1355U (8GB/ 512G/ 프리도스) 32GB RAM 구성(16GB2)+2TB (SSD)교체,"1,387,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2939494801&buyboxtype=ad
LG전자 LG그램 15ZD90S-GX56K 최종가 119만 14세대 Ultra5 16GB 256GB 24년형 가성비 노트북,"1,494,890",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3411772581
HP ProBook 465 G11 - A40XMPT 최종52만 R5-7535U/8G/512G/FD/16형 WUXGA/16:10/AI 솔루션/비즈니스노트북,"821,850",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3908468821
470 G10 821G9PA i7-1355U (16GB / 512GB / 윈도우11프로) 기본제품 포토상품평 증정,"1,335,780",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2945082410&buyboxtype=ad
갤럭시북4 프로 NT940XGQ-A51A 체감가104만 SSD더블업 신학기선물 영상작업 사무용 업무용 대학생선물,"1,449,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3401475164
사이보그 15 AI A1VFK -U7 109만 특가 램 총16GB 무상업 인텔 울트라7-155H RTX4060 512GB,"1,419,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3447689966
엘리트북 X360 1040 G10 6V7T2AV i7- 1365U (32G/ 1TB/ 윈도우11프로) 펜 포함 / 5G/ 포토사은품증정,"2,699,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2968041529&buyboxtype=ad
프레데터 헬리오스 네오 PHN16-72-9234 14세대 i9 14900HX 32GB RTX4070 WQXGA 240Hz TGP140W,"2,009,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3580121773
HP 470 G10 9F1F2PT 최종59만 i5-1335U/16G/512G/300nits/17형 대화면/비즈니스노트북,"848,850",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3746342971
엘리트북 860 G10 847M0PA I5-1350P (16G/ 512GB SSD/ 윈도우11프로) (1TB (SSD)교체+16GB RAM 추가(32GB)),"2,076,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3019323686&buyboxtype=ad
젠북 14 OLED UX3405MA-PP721W 특가 119만 인텔코어 울트라 U7-155H 램32G AI 노트북 초경량 1.2Kg 윈도우11,"1,734,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3722559937
LOQ 15ARP9 R7 4060 (Ryzen7 7435HS/RTX 4060/15.6 FHD/12GB/512GB/FD),"1,573,560",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3837353498
중고 노트북 레노버 씽크패드 X380 Yoga 8세대 i5 16G SSD256G 2in1 펜 탑재,"369,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3043232760&buyboxtype=ad
AI 프로북 440 G11 A9MW7PT 최종 72만/메모리더블업/U5-125H/8GB/512GB/Arc Graphic/5MP/FD,"966,070",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3948178338
레노버 V15 4세대 인텔 13세대 i5 13420H 8GB 128GB DOS 혜택가 43만+SSD 무상업그레이드 노트북 PC,"591,880",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3947230834
470 G10 88F07PC (16G/ 512G/ 윈도우11프로) (2TB (SSD) 교체),"1,587,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3165750049&buyboxtype=ad
LG그램16 프로 16ZD90SP-EX79K  /상품권 포함 혜택가189만/ 인텔 울트라7 32GB 512GB RTX3050 노트북,"2,400,110",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3411823791
LEGION Slim 7i 16IRX i9 4070 Plus Edition/ 게이머데이 특가:229만/ 게임용/ 14세대/ 업무용/ 디자인용,"3,058,780",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3507111952
엘리트 드래곤플라이 G4 9F191PT  ( 16GB/ 1TB SSD/ Win11Pro) OLED (기본제품),"2,209,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3483811620&buyboxtype=ad
갤럭시북4 울트라 NT960XGL-X92A 최종가299만 울트라9 RTX4070 게이밍노트북 영상작업 3K 동영상편집,"3,299,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3579523702
NT371B5L 램16G SSD512G+HDD500G 윈도우10 듀얼하드,"279,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3798899611
갤럭시북4 NT750XGR-A51A i5-1355U 16GB램 SSD 256GB 윈도우11 프로,"894,000",http://gdimg.gmarket.co.kr/3892646308/still/280?ver=1721195097,http://item.gmarket.co.kr/Item?goodscode=3892646308&buyboxtype=ad
레노버 아이디어패드 슬림3 15ABR8 82XM00FKKR (최종52만) R7/16GB/256GB/15.6/300nits,"747,200",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3820771529
